id	lemma	level
EN6078	nigga	conservative
EN6094	niggar	conservative
EN1918	retard	conservative
EN7314	retarded	conservative
EN6099	jigaboo	conservative
EN6005	mongoloids	conservative
EN2825	cunts	conservative
EN1933	cunt	conservative
EN2814	cunt-splice	conservative
EN2455	faggot	conservative
EN6011	mongoloid	conservative
EN6083	niggers	conservative
EN2436	faggoty	conservative
EN6095	niggas	conservative
EN6076	nigger-lover	conservative
EN6098	nigger	conservative
EN4599	kike	inclusive
EN633	retardation	inclusive
EN164	retards	inclusive
EN4529	poofter	inclusive
EN1321	muthafucker	conservative
EN1315	mother-fucker	conservative
EN1300	mutha fucka	conservative
EN533	fuckhead	conservative
EN6994	bastard	conservative
EN510	twat	conservative
EN1320	whoreson	conservative
EN1307	prick	conservative
EN1289	motherfucking	conservative
EN4818	assholes	conservative
EN1302	motherfuck	conservative
EN526	shithead	conservative
EN1303	asshole	conservative
EN4837	asshole-ery	conservative
EN1317	motherfucka	conservative
EN1322	motherfuckers	conservative
EN1323	mother fucker	conservative
EN7586	shit-for-brains	conservative
EN1312	motherfucker	conservative
EN4450	whoremongers	conservative
EN6584	bollocks	conservative
EN896	whore	conservative
EN2678	wankers	conservative
EN2312	fucknut	conservative
EN2453	poof	conservative
EN3772	whoremonger	conservative
EN2329	fuck-up	conservative
EN1934	bitch	conservative
EN1935	bitch-slap	conservative
EN4461	whore-mongering	conservative
EN1932	sons of bitches	conservative
EN4458	whored	conservative
EN4448	whores	conservative
EN936	man-whores	conservative
EN4431	whoremongering	conservative
EN943	man-whore	conservative
EN4454	whore-monger	conservative
EN4445	whore-mongers	conservative
EN3086	diddly-shit	conservative
EN916	slut	conservative
EN2689	cripple	inclusive
EN2328	fuckers	conservative
EN2321	fuck-head	conservative
EN911	sluts	conservative
EN2681	wanker	conservative
EN204	buttfucker	inclusive
EN1327	whoresons	inclusive
EN1335	bastardly	inclusive
EN1293	dickhead	conservative
EN899	sluttish	conservative
EN2450	faggedy	conservative
EN6001	mongloids	conservative
EN2195	dick	conservative
EN909	sluttishly	conservative
EN901	slutteries	conservative
EN2456	faggotry	conservative
EN912	slutpuppy	conservative
EN922	sluttishness	conservative
EN908	sluttiness	conservative
EN6089	niggiz	conservative
EN914	slutiness	conservative
EN1938	bitchiness	conservative
EN905	slutte	conservative
EN900	slutty	conservative
EN920	slutting	conservative
EN6015	mongloid	conservative
EN913	sluttishnesses	conservative
EN902	sluttery	conservative
EN6097	niggaz	conservative
EN6100	niggah	conservative
EN6080	niggre	conservative
EN6091	coon	conservative
EN8215	zigan	inclusive
EN6114	niggish	inclusive
EN4838	asshat	conservative
EN1385	fuckup	conservative
EN1299	arsehole	conservative
EN1311	muthafucka	conservative
EN4814	asshattery	conservative
EN3440	midget	conservative
EN1319	mother fucka	conservative
EN1929	beyotch	conservative
EN906	slutz	conservative
EN1884	sissy	conservative
EN4217	pussies	conservative
EN2815	pussy	conservative
EN6671	gyp	inclusive
EN1883	pansy	conservative
EN3083	diddlyshit	conservative
EN3744	ponce	conservative
EN2311	fuckwad	conservative
EN668	bollock	inclusive
EN670	bollocking	inclusive
EN258	fudgepacker	inclusive
EN2353	fuck	conservative
