id	lemma	level	score
EN6078	nigga	conservative	5.0
EN6094	niggar	conservative	5.0
EN1918	retard	conservative	5.0
EN7314	retarded	conservative	5.0
EN6099	jigaboo	conservative	5.0
EN6005	mongoloids	conservative	5.0
EN2825	cunts	conservative	5.0
EN1933	cunt	conservative	5.0
EN2814	cunt-splice	conservative	5.0
EN2455	faggot	conservative	5.0
EN6011	mongoloid	conservative	5.0
EN6083	niggers	conservative	5.0
EN2436	faggoty	conservative	5.0
EN6095	niggas	conservative	5.0
EN6076	nigger-lover	conservative	5.0
EN6098	nigger	conservative	5.0
EN4599	kike	inclusive	4.9
EN633	retardation	inclusive	4.9
EN164	retards	inclusive	4.9
EN4529	poofter	inclusive	4.6
EN1321	muthafucker	conservative	4.4
EN1315	mother-fucker	conservative	4.4
EN1911	moronic	conservative	4.4
EN1300	mutha fucka	conservative	4.4
EN533	fuckhead	conservative	4.4
EN1893	imbecile	conservative	4.4
EN1909	moron	conservative	4.4
EN1902	cretin	conservative	4.4
EN1917	moronism	conservative	4.4
EN6994	bastard	conservative	4.4
EN510	twat	conservative	4.4
EN1320	whoreson	conservative	4.4
EN1307	prick	conservative	4.4
EN1289	motherfucking	conservative	4.4
EN1297	shit	conservative	4.4
EN4818	assholes	conservative	4.4
EN1302	motherfuck	conservative	4.4
EN526	shithead	conservative	4.4
EN1303	asshole	conservative	4.4
EN4837	asshole-ery	conservative	4.4
EN1317	motherfucka	conservative	4.4
EN1322	motherfuckers	conservative	4.4
EN1323	mother fucker	conservative	4.4
EN7586	shit-for-brains	conservative	4.4
EN1312	motherfucker	conservative	4.4
EN4450	whoremongers	conservative	4.0
EN6584	bollocks	conservative	4.0
EN896	whore	conservative	4.0
EN8253	nazi	conservative	4.0
EN2678	wankers	conservative	4.0
EN2312	fucknut	conservative	4.0
EN2453	poof	conservative	4.0
EN3772	whoremonger	conservative	4.0
EN2339	"history of the word ""fuck"""	conservative	4.0
EN2329	fuck-up	conservative	4.0
EN1934	bitch	conservative	4.0
EN1935	bitch-slap	conservative	4.0
EN4461	whore-mongering	conservative	4.0
EN1932	sons of bitches	conservative	4.0
EN4458	whored	conservative	4.0
EN4448	whores	conservative	4.0
EN936	man-whores	conservative	4.0
EN4431	whoremongering	conservative	4.0
EN2377	fuck!	conservative	4.0
EN943	man-whore	conservative	4.0
EN4266	fuck	conservative	4.0
EN143	imbeciles	inclusive	4.0
EN7139	cretinous	inclusive	4.0
EN2675	cretinism	inclusive	4.0
EN2364	what the fuck?	conservative	4.0
EN2332	fucking	conservative	4.0
EN2309	"etymology of the word ""fuck"""	conservative	4.0
EN4454	whore-monger	conservative	4.0
EN2673	cretins	inclusive	4.0
EN4445	whore-mongers	conservative	4.0
EN3086	diddly-shit	conservative	4.0
EN916	slut	conservative	4.0
EN2689	cripple	inclusive	4.0
EN2328	fuckers	conservative	4.0
EN2671	cretinisim	inclusive	4.0
EN2321	fuck-head	conservative	4.0
EN911	sluts	conservative	4.0
EN2681	wanker	conservative	4.0
EN5230	moronity	inclusive	4.0
EN204	buttfucker	inclusive	3.8
EN269	assfuck	inclusive	3.8
EN1327	whoresons	inclusive	3.8
EN251	buggering	inclusive	3.8
EN696	bollocks.	inclusive	3.8
EN211	ass-fucking	inclusive	3.8
EN5217	apeshit	inclusive	3.8
EN1589	bugger	inclusive	3.8
EN1335	bastardly	inclusive	3.8
EN743	barbarians	conservative	3.3
EN732	savage	conservative	3.3
EN729	barbarian	conservative	3.3
EN870	stupid	conservative	3.3
EN516	idiot	conservative	3.3
EN534	dumbass	conservative	3.3
EN1923	idiotic	conservative	3.3
EN1907	idiots	conservative	3.3
EN5010	liar	conservative	3.3
EN1293	dickhead	conservative	3.3
EN7525	degenerate	conservative	3.3
EN858	sucker	conservative	3.0
EN1895	changeling	conservative	3.0
EN899	sluttish	conservative	3.0
EN1916	half-wit	conservative	3.0
EN2450	faggedy	conservative	3.0
EN882	dumbbell	conservative	3.0
EN1913	stupidhead	conservative	3.0
EN6001	mongloids	conservative	3.0
EN2195	dick	conservative	3.0
EN909	sluttishly	conservative	3.0
EN2457	fairy	conservative	3.0
EN1922	idiotes	conservative	3.0
EN2991	nitwit	conservative	3.0
EN901	slutteries	conservative	3.0
EN2456	faggotry	conservative	3.0
EN1888	coward	conservative	3.0
EN1896	idioticness	conservative	3.0
EN3928	freak	conservative	3.0
EN2446	queer-identified	conservative	3.0
EN912	slutpuppy	conservative	3.0
EN2438	queer	conservative	3.0
EN922	sluttishness	conservative	3.0
EN908	sluttiness	conservative	3.0
EN6089	niggiz	conservative	3.0
EN914	slutiness	conservative	3.0
EN1938	bitchiness	conservative	3.0
EN1914	idiotism	conservative	3.0
EN905	slutte	conservative	3.0
EN2198	cock	conservative	3.0
EN900	slutty	conservative	3.0
EN920	slutting	conservative	3.0
EN6015	mongloid	conservative	3.0
EN913	sluttishnesses	conservative	3.0
EN7131	cowardly	conservative	3.0
EN902	sluttery	conservative	3.0
EN6097	niggaz	conservative	3.0
EN6100	niggah	conservative	3.0
EN6080	niggre	conservative	3.0
EN6091	coon	conservative	3.0
EN7590	rapist	conservative	3.0
EN3808	fascist	inclusive	2.8
EN5066	murderer	inclusive	2.8
EN2768	crossbred	inclusive	2.8
EN8215	zigan	inclusive	2.8
EN6114	niggish	inclusive	2.8
EN5376	mongol	inclusive	2.8
EN5044	incapable	conservative	2.7
EN1410	bungler	conservative	2.7
EN5952	stupidly	conservative	2.7
EN2555	montambanco	conservative	2.7
EN1728	rabble	conservative	2.7
EN625	chatterbox	conservative	2.7
EN871	pudden-head	conservative	2.7
EN6506	twaddler	conservative	2.7
