id	lemma	level
IT619	rimbecillito	conservative
IT352	minchione	inclusive
IT1893	figa	conservative
IT4438	scemo	conservative
IT669	zoccola	conservative
IT211	imbecillaggine	conservative
IT1888	fregna	conservative
IT1652	finocchio	conservative
IT342	deficiente	inclusive
IT2194	zingaro	inclusive
IT4177	cretino	conservative
IT919	bastarda	conservative
IT1782	scempiataggine	conservative
IT918	bastardo	inclusive
IT1385	mongoloide	inclusive
IT3215	rincretinire	conservative
IT347	idiota	conservative
IT3374	pederastia	inclusive
IT1650	checca	conservative
IT318	minchioneria	conservative
IT3868	minchionare	inclusive
IT2340	handicappato	inclusive
IT324	coglionaggine	conservative
IT92	imbecillità	conservative
IT357	imbecille	conservative
IT1477	pederasta	inclusive
IT321	scemenza	conservative
IT1540	cazzo	conservative
IT1803	cretinismo	inclusive
IT920	stronzo	conservative
IT3681	minchionatura	inclusive
IT3640	negri	inclusive
IT1889	mona	conservative
IT3558	coglioneria	conservative
IT1647	frocio	conservative
IT1779	scempiaggine	conservative
IT208	cretineria	conservative
IT4196	stronzata	conservative
IT314	cretinata	conservative
IT475	coglione	conservative
IT1389	ritardato	inclusive
IT1896	fica	conservative
IT917	stronza	conservative
IT3210	rimbecillirsi	conservative
IT3557	minchionaggine	conservative
IT1625	scopata	conservative
IT926	bastardino	inclusive
IT670	troia	conservative
IT4250	leccaculo	conservative
IT3373	pederastico	inclusive
IT4378	giudeo	inclusive
IT676	puttana	inclusive
IT1660	invertito	inclusive
IT3274	cesso	inclusive
IT3630	negro	conservative
IT1538	minchia	conservative
IT95	idiotismo	inclusive
IT2425	finocchi	inclusive
IT4690	terronia	conservative
IT4195	merdata	conservative
IT1599	cazzeggiare	conservative
IT1626	chiavata	conservative
IT1114	cerebroleso	inclusive
IT4691	terrone	conservative
IT3572	minchionatore	conservative
IT1115	cerebrolesione	inclusive
IT479	coglioni	inclusive
IT3645	negroidi	inclusive
IT3644	negroide	inclusive
IT4683	zingari	inclusive
IT4198	puttanata	conservative
IT4689	terroni	conservative
IT933	merda	conservative
IT3590	mongoloidi	conservative
IT4665	zingaresco	inclusive
